Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9
Chickenpox,skin rash,fever,headache,itching,loss of appetite,,,,
Chickenpox,body ache,skin rash,fever,fatigue,,,,,
Chickenpox,headache,body ache,loss of appetite,fever,skin rash,itching,fatigue,,
Chickenpox,body ache,loss of appetite,fatigue,mild fever,skin rash,fever,itching,,
Chickenpox,loss of appetite,fatigue,headache,skin rash,fever,itching,body ache,mild fever,
Chickenpox,body ache,skin rash,itching,fever,mild fever,headache,fatigue,,
Chickenpox,fatigue,itching,fever,body ache,mild fever,headache,skin rash,loss of appetite,
Chickenpox,headache,loss of appetite,fatigue,skin rash,fever,itching,mild fever,,
Chickenpox,skin rash,fever,loss of appetite,fatigue,headache,body ache,mild fever,itching,
Chickenpox,skin rash,loss of appetite,mild fever,fever,fatigue,,,,
Chickenpox,skin rash,headache,loss of appetite,mild fever,fever,itching,body ache,,
Chickenpox,skin rash,fever,loss of appetite,fatigue,mild fever,,,,
Chickenpox,headache,loss of appetite,itching,fever,fatigue,mild fever,body ache,,
Chickenpox,headache,mild fever,body ache,loss of appetite,fever,skin rash,itching,,
Chickenpox,body ache,itching,mild fever,fatigue,fever,skin rash,headache,loss of appetite,
Chickenpox,fatigue,fever,mild fever,headache,itching,loss of appetite,skin rash,body ache,
Chickenpox,loss of appetite,itching,skin rash,body ache,headache,mild fever,fever,fatigue,
Chickenpox,loss of appetite,body ache,mild fever,fatigue,headache,,,,
Chickenpox,fatigue,headache,skin rash,body ache,loss of appetite,fever,itching,mild fever,
Chickenpox,body ache,loss of appetite,fever,itching,skin rash,,,,
Chickenpox,fever,body ache,mild fever,headache,fatigue,,,,
Chickenpox,loss of appetite,fever,mild fever,fatigue,headache,body ache,itching,,
Chickenpox,headache,loss of appetite,skin rash,itching,mild fever,fever,,,
Chickenpox,loss of appetite,fatigue,skin rash,headache,body ache,,,,
Chickenpox,skin rash,loss of appetite,itching,mild fever,,,,,
Chickenpox,itching,body ache,mild fever,skin rash,headache,loss of appetite,,,
Chickenpox,skin rash,itching,fever,fatigue,body ache,mild fever,,,
Chickenpox,itching,body ache,headache,mild fever,fever,skin rash,,,
Chickenpox,fever,loss of appetite,headache,skin rash,mild fever,,,,
Chickenpox,itching,loss of appetite,fatigue,body ache,,,,,
Chickenpox,itching,loss of appetite,body ache,headache,,,,,
Chickenpox,itching,headache,fever,fatigue,mild fever,skin rash,body ache,loss of appetite,
Chickenpox,itching,skin rash,fatigue,fever,body ache,mild fever,headache,,
Chickenpox,fatigue,loss of appetite,skin rash,fever,mild fever,body ache,headache,,
Chickenpox,body ache,loss of appetite,fever,skin rash,headache,itching,,,
Chickenpox,headache,fatigue,mild fever,itching,loss of appetite,skin rash,,,
Chickenpox,body ache,fever,itching,loss of appetite,headache,mild fever,fatigue,,
Chickenpox,body ache,skin rash,fever,loss of appetite,itching,mild fever,headache,fatigue,
Chickenpox,fever,body ache,fatigue,itching,,,,,
Chickenpox,body ache,itching,headache,skin rash,fever,,,,
Chickenpox,headache,loss of appetite,fatigue,fever,itching,mild fever,skin rash,body ache,
Chickenpox,loss of appetite,fatigue,skin rash,fever,headache,itching,body ache,,
Chickenpox,headache,body ache,loss of appetite,fatigue,skin rash,mild fever,fever,itching,
Chickenpox,itching,skin rash,fatigue,loss of appetite,body ache,headache,fever,,
Chickenpox,fever,mild fever,headache,fatigue,itching,loss of appetite,,,
Chickenpox,skin rash,body ache,mild fever,loss of appetite,fever,itching,fatigue,,
Chickenpox,loss of appetite,fatigue,headache,fever,mild fever,,,,
Chickenpox,itching,body ache,loss of appetite,fever,headache,fatigue,skin rash,,
Chickenpox,fatigue,headache,skin rash,mild fever,,,,,
Chickenpox,body ache,headache,fatigue,skin rash,fever,loss of appetite,,,
Chickenpox,mild fever,body ache,fatigue,fever,skin rash,itching,,,
Chickenpox,headache,loss of appetite,fatigue,mild fever,fever,body ache,itching,,
Chickenpox,fatigue,body ache,mild fever,headache,fever,loss of appetite,,,
Chickenpox,skin rash,headache,body ache,mild fever,loss of appetite,itching,fever,,
Chickenpox,itching,mild fever,fever,headache,fatigue,skin rash,,,
Chickenpox,mild fever,loss of appetite,itching,body ache,skin rash,headache,fever,,
Chickenpox,fever,itching,skin rash,headache,mild fever,fatigue,,,
Chickenpox,fever,headache,itching,skin rash,mild fever,,,,
Chickenpox,loss of appetite,itching,mild fever,fatigue,headache,,,,
Chickenpox,skin rash,mild fever,fatigue,itching,loss of appetite,headache,body ache,,
Chickenpox,fatigue,mild fever,itching,fever,,,,,
Chickenpox,fatigue,body ache,fever,loss of appetite,skin rash,headache,mild fever,itching,
Chickenpox,body ache,itching,fever,fatigue,loss of appetite,,,,
Chickenpox,fever,fatigue,body ache,mild fever,headache,,,,
Chickenpox,headache,skin rash,body ache,fatigue,itching,loss of appetite,mild fever,fever,
Chickenpox,itching,fatigue,body ache,fever,skin rash,,,,
Chickenpox,fatigue,fever,skin rash,body ache,itching,mild fever,headache,loss of appetite,
Chickenpox,loss of appetite,fever,itching,body ache,headache,mild fever,,,
Chickenpox,headache,skin rash,body ache,fever,loss of appetite,itching,,,
Chickenpox,fever,fatigue,loss of appetite,mild fever,itching,body ache,,,
Chickenpox,headache,loss of appetite,fever,body ache,skin rash,fatigue,mild fever,itching,
Chickenpox,itching,fatigue,body ache,headache,skin rash,,,,
Chickenpox,skin rash,body ache,loss of appetite,itching,,,,,
Chickenpox,loss of appetite,itching,mild fever,headache,body ache,fatigue,,,
Chickenpox,skin rash,itching,body ache,mild fever,loss of appetite,fatigue,headache,fever,
Chickenpox,body ache,fatigue,loss of appetite,itching,skin rash,fever,mild fever,headache,
Chickenpox,itching,loss of appetite,fatigue,headache,mild fever,skin rash,,,
Chickenpox,body ache,mild fever,itching,loss of appetite,headache,fatigue,skin rash,fever,
Chickenpox,loss of appetite,fever,body ache,itching,fatigue,skin rash,headache,mild fever,
Chickenpox,headache,fatigue,skin rash,fever,loss of appetite,body ache,,,
Chickenpox,loss of appetite,fatigue,headache,mild fever,,,,,
Chickenpox,headache,skin rash,itching,body ache,fever,loss of appetite,mild fever,,
Chickenpox,fatigue,body ache,skin rash,headache,mild fever,loss of appetite,fever,,
Chickenpox,itching,fatigue,skin rash,mild fever,headache,body ache,loss of appetite,fever,
Chickenpox,itching,fatigue,loss of appetite,skin rash,mild fever,body ache,fever,,
Chickenpox,fever,loss of appetite,body ache,mild fever,skin rash,,,,
Chickenpox,mild fever,body ache,loss of appetite,headache,skin rash,fatigue,,,
Chickenpox,itching,headache,skin rash,loss of appetite,mild fever,body ache,fatigue,,
Chickenpox,headache,mild fever,loss of appetite,skin rash,fatigue,body ache,itching,fever,
Chickenpox,skin rash,fever,loss of appetite,mild fever,fatigue,,,,
Chickenpox,fatigue,fever,itching,mild fever,skin rash,,,,
Chickenpox,skin rash,fatigue,itching,fever,headache,,,,
Chickenpox,itching,skin rash,headache,fatigue,body ache,fever,,,
Chickenpox,itching,skin rash,fever,fatigue,loss of appetite,,,,
Chickenpox,itching,headache,skin rash,fever,mild fever,fatigue,,,
Chickenpox,itching,fatigue,skin rash,fever,body ache,mild fever,,,
Chickenpox,fever,loss of appetite,itching,headache,fatigue,body ache,mild fever,,
Chickenpox,headache,skin rash,itching,fatigue,mild fever,fever,body ache,,
Chickenpox,loss of appetite,headache,fatigue,skin rash,mild fever,,,,
Chickenpox,skin rash,body ache,headache,fever,fatigue,itching,loss of appetite,mild fever,
Chickenpox,itching,body ache,loss of appetite,headache,,,,,
Chickenpox,skin rash,loss of appetite,body ache,fever,,,,,
Chickenpox,body ache,headache,itching,fatigue,mild fever,loss of appetite,,,
Chickenpox,itching,skin rash,mild fever,fever,loss of appetite,,,,
Chickenpox,mild fever,skin rash,fatigue,loss of appetite,itching,,,,
Chickenpox,fatigue,headache,itching,mild fever,loss of appetite,,,,
Chickenpox,skin rash,fever,itching,body ache,headache,loss of appetite,mild fever,,
Chickenpox,fever,loss of appetite,fatigue,itching,skin rash,body ache,,,
Chickenpox,fever,loss of appetite,skin rash,body ache,,,,,
Chickenpox,loss of appetite,headache,body ache,fatigue,skin rash,itching,fever,mild fever,
Chickenpox,itching,loss of appetite,skin rash,body ache,fatigue,,,,
Chickenpox,skin rash,fatigue,mild fever,itching,body ache,,,,
Chickenpox,skin rash,fatigue,fever,mild fever,,,,,
Chickenpox,mild fever,skin rash,body ache,itching,,,,,
Chickenpox,fatigue,mild fever,skin rash,loss of appetite,,,,,
Chickenpox,headache,fever,fatigue,mild fever,loss of appetite,itching,,,
Chickenpox,fatigue,fever,loss of appetite,mild fever,headache,body ache,skin rash,itching,
Chickenpox,itching,fatigue,headache,loss of appetite,body ache,fever,skin rash,,
Chickenpox,itching,body ache,skin rash,mild fever,loss of appetite,,,,
Chickenpox,body ache,itching,mild fever,skin rash,fatigue,,,,
Chickenpox,fever,skin rash,mild fever,loss of appetite,headache,,,,
Chickenpox,headache,skin rash,loss of appetite,fever,mild fever,fatigue,,,
Chickenpox,body ache,fever,loss of appetite,itching,skin rash,mild fever,,,
Chickenpox,skin rash,loss of appetite,body ache,itching,mild fever,fever,headache,fatigue,
Chickenpox,body ache,fatigue,itching,skin rash,mild fever,headache,fever,loss of appetite,
Chickenpox,body ache,fatigue,headache,itching,skin rash,mild fever,,,
Chickenpox,skin rash,headache,body ache,mild fever,,,,,
Chickenpox,mild fever,body ache,fatigue,skin rash,headache,,,,
Chickenpox,body ache,skin rash,fever,itching,loss of appetite,,,,
Chickenpox,fatigue,itching,headache,body ache,skin rash,fever,mild fever,,
Chickenpox,fever,itching,body ache,loss of appetite,fatigue,skin rash,mild fever,headache,
Chickenpox,loss of appetite,mild fever,headache,fever,body ache,fatigue,itching,,
Chickenpox,loss of appetite,fatigue,mild fever,body ache,headache,skin rash,itching,,
Chickenpox,headache,loss of appetite,fatigue,fever,,,,,
Chickenpox,fever,itching,fatigue,loss of appetite,body ache,skin rash,headache,,
Chickenpox,skin rash,itching,headache,loss of appetite,,,,,
Chickenpox,skin rash,fever,loss of appetite,fatigue,body ache,itching,,,
Chickenpox,loss of appetite,itching,fever,fatigue,headache,body ache,mild fever,,
Chickenpox,itching,body ache,mild fever,fatigue,headache,loss of appetite,fever,,
Chickenpox,fatigue,headache,mild fever,body ache,fever,,,,
Chickenpox,skin rash,headache,loss of appetite,fatigue,itching,,,,
Chickenpox,headache,mild fever,skin rash,loss of appetite,,,,,
Chickenpox,itching,fatigue,mild fever,body ache,,,,,
Chickenpox,loss of appetite,fever,body ache,mild fever,itching,skin rash,fatigue,,
Chickenpox,fever,loss of appetite,mild fever,body ache,,,,,
Chickenpox,itching,mild fever,skin rash,loss of appetite,fever,,,,
Chickenpox,fever,itching,skin rash,body ache,fatigue,loss of appetite,,,
Chickenpox,mild fever,body ache,headache,itching,fatigue,fever,skin rash,loss of appetite,
Chickenpox,fever,itching,skin rash,mild fever,loss of appetite,fatigue,headache,,
Chickenpox,headache,fatigue,mild fever,body ache,skin rash,fever,loss of appetite,itching,
Chickenpox,fatigue,skin rash,fever,body ache,,,,,
Chickenpox,body ache,mild fever,fatigue,loss of appetite,skin rash,itching,headache,,
Chickenpox,itching,mild fever,headache,fatigue,skin rash,fever,body ache,,
Chickenpox,itching,skin rash,body ache,headache,,,,,
Chickenpox,skin rash,loss of appetite,mild fever,fatigue,,,,,
Chickenpox,skin rash,body ache,fatigue,mild fever,,,,,
Chickenpox,mild fever,fatigue,body ache,itching,headache,,,,
Chickenpox,mild fever,fever,skin rash,fatigue,,,,,
Chickenpox,body ache,loss of appetite,fatigue,mild fever,headache,fever,skin rash,itching,
Chickenpox,skin rash,body ache,loss of appetite,itching,mild fever,,,,
Chickenpox,mild fever,body ache,headache,loss of appetite,,,,,
Chickenpox,mild fever,skin rash,itching,loss of appetite,headache,body ache,fever,,
Chickenpox,headache,loss of appetite,itching,fever,body ache,fatigue,skin rash,,
Chickenpox,fever,skin rash,mild fever,fatigue,,,,,
Chickenpox,fatigue,loss of appetite,fever,mild fever,itching,skin rash,headache,body ache,
Chickenpox,fatigue,itching,loss of appetite,fever,body ache,,,,
Chickenpox,mild fever,fever,itching,loss of appetite,skin rash,body ache,fatigue,,
Chickenpox,fever,skin rash,fatigue,mild fever,headache,loss of appetite,itching,,
Chickenpox,fever,loss of appetite,skin rash,mild fever,,,,,
Chickenpox,mild fever,skin rash,fever,body ache,loss of appetite,headache,itching,,
Chickenpox,skin rash,mild fever,headache,fatigue,itching,fever,body ache,loss of appetite,
Chickenpox,loss of appetite,mild fever,body ache,skin rash,fever,headache,,,
Chickenpox,mild fever,itching,fever,loss of appetite,headache,fatigue,body ache,skin rash,
Chickenpox,body ache,headache,fever,mild fever,fatigue,loss of appetite,,,
Chickenpox,loss of appetite,fatigue,headache,itching,body ache,fever,mild fever,skin rash,
Chickenpox,mild fever,itching,fatigue,fever,skin rash,,,,
Chickenpox,mild fever,skin rash,body ache,loss of appetite,,,,,
Chickenpox,skin rash,body ache,fever,headache,itching,,,,
Chickenpox,headache,itching,fever,mild fever,,,,,
Chickenpox,body ache,headache,fever,skin rash,fatigue,,,,
Chickenpox,fatigue,body ache,mild fever,itching,,,,,
Chickenpox,loss of appetite,skin rash,itching,body ache,fatigue,mild fever,headache,,
Chickenpox,headache,skin rash,body ache,loss of appetite,fatigue,fever,itching,,
Chickenpox,body ache,mild fever,itching,skin rash,fever,loss of appetite,headache,fatigue,
Chickenpox,itching,fatigue,body ache,skin rash,loss of appetite,mild fever,,,
Chickenpox,fatigue,itching,mild fever,headache,loss of appetite,body ache,fever,,
Chickenpox,headache,body ache,fever,mild fever,loss of appetite,skin rash,fatigue,itching,
Chickenpox,loss of appetite,headache,fever,fatigue,body ache,itching,,,
Chickenpox,body ache,headache,itching,fever,skin rash,mild fever,loss of appetite,,
Chickenpox,loss of appetite,fever,skin rash,fatigue,headache,itching,,,
Chickenpox,fever,skin rash,fatigue,body ache,itching,headache,,,
Chickenpox,loss of appetite,headache,itching,fever,,,,,
Chickenpox,fatigue,fever,mild fever,body ache,headache,skin rash,loss of appetite,itching,
Chickenpox,headache,body ache,mild fever,fatigue,itching,fever,skin rash,,
Chickenpox,fever,fatigue,loss of appetite,itching,headache,skin rash,,,
Chickenpox,fever,mild fever,itching,body ache,skin rash,loss of appetite,,,
Chickenpox,itching,loss of appetite,skin rash,headache,fever,,,,
Chickenpox,headache,fatigue,mild fever,body ache,skin rash,,,,
Chickenpox,skin rash,body ache,fatigue,fever,,,,,
Chickenpox,fever,fatigue,loss of appetite,itching,mild fever,headache,,,
Chickenpox,itching,loss of appetite,mild fever,fever,fatigue,,,,
Chickenpox,mild fever,skin rash,itching,headache,,,,,
Chickenpox,fatigue,body ache,loss of appetite,headache,skin rash,mild fever,fever,,
Chickenpox,itching,fatigue,body ache,loss of appetite,mild fever,headache,skin rash,fever,
Chickenpox,itching,loss of appetite,fatigue,headache,skin rash,fever,,,
Chickenpox,headache,itching,skin rash,fatigue,body ache,fever,mild fever,loss of appetite,
Chickenpox,fatigue,mild fever,body ache,skin rash,,,,,
Chickenpox,fatigue,fever,body ache,skin rash,itching,headache,mild fever,loss of appetite,
Chickenpox,body ache,skin rash,mild fever,headache,fever,,,,
Chickenpox,fever,mild fever,skin rash,headache,body ache,itching,,,
Chickenpox,headache,fever,fatigue,loss of appetite,body ache,skin rash,,,
Chickenpox,skin rash,headache,itching,fever,loss of appetite,body ache,mild fever,fatigue,
Chickenpox,fatigue,itching,mild fever,fever,headache,body ache,skin rash,loss of appetite,
Chickenpox,headache,skin rash,itching,fever,fatigue,mild fever,,,
Chickenpox,loss of appetite,body ache,headache,skin rash,fatigue,,,,
Chickenpox,fatigue,headache,loss of appetite,mild fever,fever,itching,body ache,,
Chickenpox,itching,fever,fatigue,skin rash,loss of appetite,body ache,,,
Chickenpox,mild fever,loss of appetite,skin rash,body ache,fatigue,itching,fever,,
Chickenpox,fever,headache,loss of appetite,itching,skin rash,mild fever,fatigue,body ache,
Chickenpox,mild fever,fever,fatigue,itching,headache,skin rash,,,
Chickenpox,fatigue,mild fever,loss of appetite,headache,skin rash,fever,body ache,itching,
Chickenpox,skin rash,itching,body ache,fever,,,,,
Chickenpox,fever,itching,mild fever,body ache,loss of appetite,skin rash,headache,fatigue,
Chickenpox,fatigue,mild fever,loss of appetite,itching,fever,body ache,skin rash,headache,
Chickenpox,body ache,mild fever,headache,fatigue,skin rash,itching,loss of appetite,,
Chickenpox,fatigue,fever,mild fever,headache,loss of appetite,skin rash,body ache,itching,
Chickenpox,fatigue,loss of appetite,headache,skin rash,mild fever,fever,itching,body ache,
Chickenpox,headache,fatigue,itching,loss of appetite,fever,skin rash,body ache,mild fever,
Chickenpox,fever,body ache,skin rash,loss of appetite,itching,,,,
Chickenpox,fever,itching,fatigue,loss of appetite,body ache,,,,
Chickenpox,mild fever,itching,headache,body ache,skin rash,fever,fatigue,,
Chickenpox,skin rash,mild fever,itching,fever,body ache,headache,fatigue,,
Chickenpox,fever,fatigue,skin rash,mild fever,itching,body ache,headache,,
Chickenpox,headache,mild fever,loss of appetite,fatigue,itching,body ache,skin rash,,
Chickenpox,fever,loss of appetite,itching,headache,body ache,fatigue,skin rash,mild fever,
Chickenpox,itching,skin rash,loss of appetite,fever,fatigue,mild fever,body ache,headache,
Chickenpox,fatigue,mild fever,skin rash,fever,,,,,
Chickenpox,fatigue,skin rash,headache,itching,loss of appetite,body ache,fever,,
Chickenpox,fatigue,skin rash,loss of appetite,itching,body ache,,,,
Chickenpox,skin rash,fatigue,loss of appetite,headache,fever,body ache,itching,mild fever,
Chickenpox,loss of appetite,body ache,fatigue,fever,itching,headache,mild fever,,
Chickenpox,skin rash,fever,loss of appetite,body ache,mild fever,itching,headache,fatigue,
Chickenpox,loss of appetite,body ache,mild fever,skin rash,fatigue,headache,,,
Chickenpox,mild fever,body ache,headache,skin rash,itching,,,,
Chickenpox,body ache,itching,fatigue,headache,loss of appetite,fever,,,
Chickenpox,fatigue,headache,itching,mild fever,fever,loss of appetite,body ache,skin rash,
